district_name,parish_name,village_name,group_name,group_enterprise,farmer_id,farmer_name,gender,age,category,handicapped,nationality,pdc_village_verification,pdc_enterprise_verification_individual,pdc_enterprise_verification,group_pdc_village_ok,group_has_non_ugandan,pdc_group_approved,conforms_to_rule,group_funded_by_pdm,fund_amount_received,total_amount_due,repayment_type,Q1_payment,Q2_payment,Q3_payment,Q4_payment,total_repaid,outstanding_balance,repayment_time_months,repayment_rate,disqualification_reason
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000349,Jane Ssali,Female,36,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000350,Lilian Namusoke,Female,44,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000351,Isaac Okello,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000352,Robert Tumusiime,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000353,Florence Nabukenya,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000354,Alice Otim,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000355,James Muwanga,Male,68,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_2,Group_02_2_05,Mixed,CAV-000356,Jane Namusoke,Female,70,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000357,Jane Kato,Female,44,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000358,Florence Byaruhanga,Female,52,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000359,Jane Ssembatya,Female,50,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000360,Christine Ssembatya,Female,34,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000361,Peter Tumusiime,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000362,James Ssembatya,Male,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000363,Jane Byaruhanga,Female,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000364,Ruth Kibedi,Female,23,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000365,Robert Kakande,Male,61,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000366,Aisha Kakande,Female,60,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000367,Daniel Kato,Male,48,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_01,fishing,CAV-000368,Grace Nabukenya,Female,67,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000369,Ruth Ssembatya,Female,46,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000370,Ruth Ssali,Female,35,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Defaulted,265000,265000,0,0,530000,530000,12,0.5,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000371,Esther Ssali,Female,29,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000372,Christine Byaruhanga,Female,53,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000373,Patrick Byaruhanga,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000374,Michael Okello,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Defaulted,265000,265000,0,0,530000,530000,12,0.5,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000375,Ruth Ssembatya,Female,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000376,Diana Kato,Female,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000377,Michael Nabukenya,Male,64,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000378,Joy Katende,Female,61,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000379,Paul Mugisha,Male,63,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_02,Mixed,CAV-000380,Ruth Kakande,Female,68,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000381,Lilian Namusoke,Female,56,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000382,Lilian Nabukenya,Female,51,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000383,Florence Ssali,Female,50,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000384,Esther Ssali,Female,49,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000385,John Kakande,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000386,James Katende,Male,23,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000387,Ruth Namukasa,Female,20,Youth,No,South Sudanese,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000388,Aisha Namukasa,Female,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000389,James Mugisha,Male,69,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_03,dairy cattle keeping,CAV-000390,Christine Byaruhanga,Female,65,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000391,Lilian Tumusiime,Female,57,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000392,Christine Kato,Female,59,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000393,Joy Byaruhanga,Female,29,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000394,Joy Byaruhanga,Female,40,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000395,James Tumusiime,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000396,Patrick Otim,Male,25,Youth,No,Ugandan,No,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000397,Nabirye Tumusiime,Female,24,Youth,No,South Sudanese,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000398,Nabirye Ssali,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000399,Michael Kakande,Male,62,Elderly,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000400,Rebecca Nabukenya,Female,63,Elderly,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000401,Mark Ssali,Male,70,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_04,beans,CAV-000402,Mercy Kibedi,Female,56,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000403,Mercy Mugisha,Female,56,Women,No,Ugandan,No,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000404,Rebecca Namusoke,Female,57,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000405,Sarah Muwanga,Female,32,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000406,Ruth Nabukenya,Female,56,Women,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000407,Patrick Otim,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000408,David Okello,Male,23,Youth,No,Kenyan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000409,Florence Ssembatya,Female,24,Youth,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000410,Aisha Nabukenya,Female,24,Youth,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000411,Michael Kakande,Male,62,Elderly,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000412,Alice Tumusiime,Female,65,Elderly,No,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000413,William Namusoke,Male,41,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_05,poultry,CAV-000414,Aisha Mugisha,Female,69,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000415,Christine Muwanga,Female,50,Women,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000416,Florence Nabukenya,Female,30,Women,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000417,Lilian Kakande,Female,35,Women,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000418,Alice Namusoke,Female,26,Women,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000419,Henry Ssali,Male,19,Youth,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000420,Isaac Tumusiime,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000421,Nabirye Namusoke,Female,23,Youth,No,Ugandan,No,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000422,Mercy Mugisha,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000423,James Muwanga,Male,68,Elderly,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000424,Rebecca Ssali,Female,64,Elderly,No,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000425,Peter Mugisha,Male,37,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_06,maize,CAV-000426,Alice Katende,Female,36,Disabled,Yes,Ugandan,Yes,Yes,Yes,No,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000427,Aisha Mugisha,Female,47,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000428,Joy Ssembatya,Female,34,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000429,Lilian Nabukenya,Female,56,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000430,Sarah Ssali,Female,57,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000431,Mark Mugisha,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000432,John Otim,Male,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000433,Christine Kakande,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000434,Lilian Nabukenya,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000435,John Ssembatya,Male,66,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_3,Group_02_3_07,maize,CAV-000436,Esther Nabukenya,Female,64,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,member_not_from_village (pdc_village_verification_failed)
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000437,Alice Ssali,Female,40,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000438,Aisha Namukasa,Female,40,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000439,Florence Byaruhanga,Female,58,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000440,Jane Namusoke,Female,44,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000441,John Ssembatya,Male,20,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000442,Henry Nabukenya,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000443,Lilian Namukasa,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000444,Florence Namukasa,Female,19,Youth,No,Rwandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000445,Patrick Kakande,Male,62,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000446,Nabirye Okello,Female,68,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000447,Isaac Nabukenya,Male,45,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_01,maize,CAV-000448,Christine Mugisha,Female,45,Disabled,Yes,South Sudanese,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_02,Village_02_4,Group_02_4_02,dairy cattle keeping,CAV-000449,Lilian Kakande,Female,30,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_4,Group_02_4_02,dairy cattle keeping,CAV-000450,Nabirye Okello,Female,49,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_4,Group_02_4_02,dairy cattle keeping,CAV-000451,Esther Byaruhanga,Female,57,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_02,Village_02_4,Group_02_4_02,dairy cattle keeping,CAV-000452,Aisha Mugisha,Female,51,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
